Building,City,Country,Architect / Designer,Construction Costs ($/sqm),Total Construction Costs (billion $).text,Costruction Costs adjusted for inflation (2012) (billion $),Height (meters),Floors,Year Built,Building Wikipedia Profile,Architect / Designer Profile,Image,Description
Antilla,Mumbai,India,Perkins & Will,"$53,820","$2,000,000,000","$2,530,000,000",173,27,2010,http://en.wikipedia.org/wiki/Antilia_(building),http://en.wikipedia.org/wiki/Perkins_%26_Will,http://upload.wikimedia.org/wikipedia/commons/b/b2/Antilia.JPG,"Antilia is a residential complex in South Mumbai, India. It is owned by Mukesh Ambani, chairman of Reliance Industries Limited. It is reported to be the most expensive home in the world and includes a staff of 600 to maintain the residence."
Bank of China Tower,Hong Kong,Hong Kong,I. M. Pei,"$7,407","$1,000,000,000","$2,090,000,000",367,76,1990,"http://en.wikipedia.org/wiki/Bank_of_China_Tower,_Hong_Kong",http://en.wikipedia.org/wiki/I._M._Pei,http://upload.wikimedia.org/wikipedia/commons/2/22/HK_Bank_of_China_Tower_View.jpg,"The Bank of China Tower (abbreviated BOC Tower) is one of the most recognisable skyscrapers in Admiralty, Hong Kong. It houses the headquarters for the Bank of China (Hong Kong) Limited. The building is located at 1 Garden Road, in Central and Western District on Hong Kong Island."
Bellagio,Las Vegas,United States of America,DeRuyter Butler,"$3,588","$1,600,000,000","$2,290,000,000",151,36,1998,http://en.wikipedia.org/wiki/Bellagio_(resort),http://en.wikipedia.org/w/index.php?title=DeRuyter_Butler&action=edit&redlink=1,http://upload.wikimedia.org/wikipedia/en/8/81/Bellagio_Hotel_and_Casino.svg,"Bellagio is a resort, luxury hotel and casino on the Las Vegas Strip in Paradise, Nevada. It is owned by MGM Resorts International and was built on the site of the demolished Dunes hotel and casino."
Burj Khalifa,Dubai,United Arab Emirates,Adrian Smith,"$4,847","$1,500,000,000","$1,550,000,000",828,163,2010,http://en.wikipedia.org/wiki/Burj_Khalifa,http://en.wikipedia.org/wiki/Adrian_Smith_(architect),http://upload.wikimedia.org/wikipedia/en/9/93/Burj_Khalifa.jpg,"Burj Khalifa (Arabic: برج خليفة‎, ""Khalifa Tower""), known as Burj Dubai prior to its inauguration, is a skyscraper in Dubai, United Arab Emirates, and is the tallest man-made structure in the world, at 829.8 m (2,722 ft)."
City of Dreams (casino),Macau,Macau,Arquitectonica,"$7,797","$2,400,000,000","$2,750,000,000",164,37,2009,http://en.wikipedia.org/wiki/City_of_Dreams_(casino),http://en.wikipedia.org/wiki/Arquitectonica,http://upload.wikimedia.org/wikipedia/commons/b/b3/The_City_of_Dreams_200907.jpg,"City of Dreams (Chinese: 新濠天地) is a property along the Cotai Strip in the Cotai reclamation area in Macau, China. It is built, owned and managed by Melco Crown Entertainment, formerly known as Melco PBL Entertainment. City of Dreams is Melcos second mega-sized property in Macau. It is located directly opposite The Venetian Macao, the first property in Cotai, opened by Las Vegas Sands Corp."
ECB Headquarters,Frankfurt,Germany,Coop Himmelb(l)au,"$8,533","$1,570,000,000","$1,570,000,000",217,48,2013,http://en.wikipedia.org/wiki/European_Central_Bank_Headquarters,http://en.wikipedia.org/wiki/Coop_Himmelb(l)au,http://upload.wikimedia.org/wikipedia/commons/9/9a/European_Central_Bank_-_building_under_construction_-_Frankfurt_-_Germany_-_14.jpg,"The European Central Bank Headquarters is a building complex under construction in the Ostend district of Frankfurt. It includes the existing Großmarkthalle, a new 185/165-metre-twin-skyscraper and a new low-rise building to connect the two. Located east of the city centre it will house the new headquarters for the European Central Bank (ECB). It is expected to be completed in 2014."
Emirates Palace,Abu Dhabi,United Arab Emirates,John Elliott,"$3,530","$3,000,000,000","$4,460,000,000",72.6,6,2005,http://en.wikipedia.org/wiki/Emirates_Palace,http://en.wikipedia.org/wiki/John_Elliott_(architect),http://upload.wikimedia.org/wikipedia/commons/b/b2/Abu_Dhabi_0701-0397.JPG,"The Emirates Palace (Arabic: قصر الإمارات) is a five starluxury hotel in Abu Dhabi, United Arab Emirates. Built as a landmark showcasing Arabian culture, Emirates Palace, has created a niche in luxury hospitality. Situated on 1.3 km of private beach and surrounded by 85 hectares of gardens and lawns, with 114 domes that are 80 meters high, Emirates Palace comprises 394 rooms and suites carefully designed and furnished to offer guests superior comfort and luxury."
Marina Bay Sands,Singapore,Singapore,Moshe Safdie,"$6,509","$5,500,000,000","$6,000,000,000",194,57,2010,http://en.wikipedia.org/wiki/Marina_Bay_Sands,http://en.wikipedia.org/wiki/Moshe_Safdie,http://upload.wikimedia.org/wikipedia/en/3/39/Marina_Bay_Sands_Logo.png,"Marina Bay Sands is an integrated resort fronting Marina Bay in Singapore. Developed by Las Vegas Sands (LVS), it is the world's most expensive building, at US$ 4.7 billion, including the cost of the prime land."
One World Trade Center,New York,United States of America,David Childs,"$15,732","$3,800,000,000","$3,800,000,000",541,104,2012,http://en.wikipedia.org/wiki/One_World_Trade_Center,http://en.wikipedia.org/wiki/David_Childs,http://upload.wikimedia.org/wikipedia/commons/a/ac/OneWorldTradeCenter.jpg,"One World Trade Center (also 1 World Trade Center or 1 WTC; the current building was dubbed the Freedom Tower during initial basework) is the name of two buildings. It most commonly refers to the primary building of the new World Trade Center complex in Lower Manhattan, New York City, and the tallest skyscraper in the Western Hemisphere. The 104-story supertall structure, which shares a name with the northern Twin Tower in the original World Trade Center that was destroyed in the September 11 attacks, stands on the northwest corner of the 16-acre (6.5 ha) World Trade Center site, on the site of the original 6 World Trade Center. The building is bordered to the west by West Street, to the north by Vesey Street, to the south by Fulton Street, and to the east by Washington Street. Construction on below-ground utility relocations, footings, and foundations for the building began on April 27, 2006. On March 30, 2009, the Port Authority of New York and New Jersey confirmed that the building would be known by its legal name, One World Trade Center, rather than the colloquial name, Freedom Tower."
Petronas Twin Towers,Kuala Lumpur,Malaysia,César Pelli,"$4,051","$1,160,000,000","$1,600,000,000",452,88,1999,http://en.wikipedia.org/wiki/Petronas_Twin_Towers,http://en.wikipedia.org/wiki/C%C3%A9sar_Pelli,http://upload.wikimedia.org/wikipedia/commons/8/85/Petronas_Panorama_II.jpg,"The Petronas Towers, also known as the Petronas Twin Towers (Malay: Menara Petronas, or Menara Berkembar Petronas) are twin skyscrapers in Kuala Lumpur, Malaysia. According to the Council on Tall Buildings and Urban Habitat (CTBUH)'s official definition and ranking, they were the tallest buildings in the world from 1998 to 2004 and remain the tallest twin towers in the world replacing World Trade Center in New York. The buildings are a landmark of Kuala Lumpur, along with nearby Kuala Lumpur Tower."
