Name,Profile,Produced / First Used,Producer,Origin,Operators,Weapon Category,*REMOVE*Service History,Quantity,Photo,Notes,Description
M1A1M Abrams,http://en.wikipedia.org/wiki/M1_Abrams,1980,"Lima Army Tank Plant, Detroit Arsenal Tank Plant",United States,"Australia, Egypt, Iraq, Kuwait, Saudi Arabia, United States of America",Infantry Vehicle,,1 - 5,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/M1_Abrams_tanks_in_Iraqi_service%2C_Jan._2011.jpg/230px-M1_Abrams_tanks_in_Iraqi_service%2C_Jan._2011.jpg,Captured from Iraq Army,"The M1 Abrams is an American third-generation main battle tank produced by the United States. It is named after General Creighton Abrams, former Army Chief of Staff and Commander of U.S. military forces in the Vietnam War from 1968 to 1972. Highly mobile, designed for modern armored ground warfare, [11] the M1 is well armed and heavily armored. Notable features include the use of a powerful gas turbine engine ( multifuel ), the adoption of sophisticated composite armor, and separate ammunition storage in a blow-out compartment for crew safety. Weighing nearly 68 short tons (almost 62 metric tons ), it is one of the heaviest main battle tanks in service."
M113 APC,http://en.wikipedia.org/wiki/M113_armored_personnel_carrier,1960,Food Machinery Corp,United States,"Afghanistan, Albania, Argentina, Australia, Bahrain, Bangladesh, Bolivia, Bosnia and Herzegovina, Brazil, Canada, Chile, China, Colombia, Cyprus, Democratic Republic of the Congo, Denmark, Ecuador, Egypt, El Salvador, Ethiopia, France, Greece, Indonesia, Iran, Iraq, Israel, Italy, Jordan, Kuwait, Lebanon, Lithuania, Macedonia, Morocco, Netherlands, Norway, Pakistan, Peru, Philippines, Poland, Portugal, Saudi Arabia, Singapore, South Korea, Spain, Sweden, Switzerland, Thailand, Tunisia, Turkey, United States of America",Infantry Vehicle,,,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/US_M113_in_Samarra_Iraq.jpg/230px-US_M113_in_Samarra_Iraq.jpg,Captured from Iraq Army,"The M113 is a fully tracked armored personnel carrier that was developed by Food Machinery Corp (FMC). The vehicle was first fielded by the United States Army s mechanized infantry units in Vietnam in April 1962. [2] The M113 was the most widely used armored vehicle of the U.S. Army in the Vietnam War, earning the nickname 'Green Dragon' by the Viet Cong as it was used to break through heavy thickets in the midst of the jungle to attack and overrun enemy positions, but largely known as an APC and ACAV ( armored cavalry assault vehicle) by the allied forces. [3]"
M4 carbine,http://en.wikipedia.org/wiki/M4_carbine,1994,"Colt Defense, Bushmaster, U.S. Ordnance, Remington Arms Company, THOR Global Defense Group, SME Ordnance, FN Herstal, Sarsılmaz Arms",United States,"Afghanistan, Australia, Bahrain, Bangladesh, Belize, Brazil, Canada, China, Colombia, Croatia, Czech Republic, Ecuador, El Salvador, Georgia, Greece, Hong Kong, Hungary, India, Indonesia, Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kenya, Kosovo, Kuwait, Lebanon, Libya, Macedonia, Malaysia, Nepal, New Zealand, Pakistan, Panama, Philippines, Poland, Portugal, Serbia, Singapore, Taiwan, Thailand, Tonga, Turkey, United Arab Emirates, United States of America, Yemen",Rifle,,1000+,//upload.wikimedia.org/wikipedia/commons/thumb/3/39/PEO_M4_Carbine_RAS_M68_CCO.jpg/230px-PEO_M4_Carbine_RAS_M68_CCO.jpg,Captured from Iraqi Army & Police,"The M4 carbine is a family of firearms that was derived from earlier carbine versions of the M16 rifle, which was in turn derived from the original AR-15 rifle that Eugene Stoner designed and ArmaLite manufactured. The M4 is a shorter and lighter variant of the M16A2 assault rifle. It is a gas-operated, magazine -fed, selective fire, shoulder-fired weapon with a telescoping stock and 14.5 in (370 mm) barrel to ease close quarters combat. Like the rest of the M16 family, it fires the .223 caliber, or 5.56 mm NATO round ."
M16 rifle,http://en.wikipedia.org/wiki/M16_rifle,1959,"Colt Defense, Daewoo Precision Industries, FN Herstal, H & R Firearms, General Motors Hydramatic Division, Elisco, U.S. Ordnance",United States,"Afghanistan, Argentina, Australia, Bahrain, Bangladesh, Barbados, Belize, Bolivia, Brazil, Brunei, Cambodia, Cameroon, Canada, Chile, Costa Rica, Democratic Republic of the Congo, Denmark, Dominican Republic, East Timor, Ecuador, El Salvador, Estonia, Fiji, France, Gabon, Ghana, Greece, Grenada, Guatemala, Haiti, Honduras, India, Indonesia, Iraq, Israel, Jamaica, Jordan, Kuwait, Lebanon, Lesotho, Liberia, Lithuania, Malaysia, Mauritius, Mexico, Monaco, Morocco, Nepal, Netherlands, New Zealand, Nicaragua, Nigeria, Oman, Panama, Peru, Philippines, Qatar, Republic of Korea, Senegal, Singapore, Somalia, South Africa, Sri Lanka, Sweden, Taiwan, Thailand, Tunisia, Turkey, Uganda, United Arab Emirates, United Kingdom, United States of America, Uruguay, Vietnam",Rifle,,1000+,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/M16a4lh6.jpg/230px-M16a4lh6.jpg,Captured from Iraqi Army & Police,"The M16 rifle, officially designated Rifle, Caliber 5.56 mm, M16, is the United States military select-fire adaptation of the AR-15 rifle. The rifle was adapted for semi- automatic and full-automatic fire. [7] [8] Colt purchased the rights to the AR-15 from ArmaLite, and currently uses that designation only for semi-automatic versions of the rifle. The M16 fires the 5.56×45mm NATO cartridge. The rifle entered United States Army service and was deployed for jungle warfare operations in South Vietnam in 1963, [9] becoming the U.S. military's standard service rifle of the Vietnam War by 1969, [10] replacing the M14 rifle in that role. The U.S. Army retained the M14 in CONUS, Europe, and South Korea until 1970. In 1983 with the USMC's adoption of the M16A2 (1986 for the US Army), the M16 rifle was modified for three-round bursts, [11] with some later variants having all modes of fire and has been the primary service rifle of the U.S. armed forces."
RPG-7,http://en.wikipedia.org/wiki/RPG-7,1961,"Bazalt and Degtyarev plant, Airtronic USA",Soviet Union,"Afghanistan, Albania, Algeria, Angola, Armenia, Azerbaijan, Bangladesh, Belarus, Benin, Botswana, Bulgaria, Burkina Faso, Burundi, Cambodia, Cape Verde, Central African Republic, Chad, China, Croatia, Cuba, Cyprus, Czech Republic, Democratic Republic of the Congo, Djibouti, Egypt, Eritrea, Georgia, Ghana, Guinea, Guyana, Hungary, Indonesia, Iran, Iraq, Israel, Jordan, Kazakhstan, Kyrgyzstan, Laos, Latvia, Lebanon, Liberia, Libya, Lithuania, Macedonia, Madagascar, Malaysia, Malta, Mauritania, Moldova, Mongolia, Morocco, Nicaragua, Nigeria, North Korea, Pakistan, Palestine, Philippines, Poland, Republic of the Congo, Romania, Russia, Rwanda, Sahrawi Arab Democratic Republic, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, Sudan, Syria, Tajikistan, Togo, Turkey, Turkmenistan, Ukraine, United States of America, Uzbekistan, Venezuela, Vietnam, Yemen, Zambia, Zimbabwe",Rocket Launcher,,,//upload.wikimedia.org/wikipedia/commons/thumb/3/33/RPG-7_detached.jpg/230px-RPG-7_detached.jpg,Commonly used,"The RPG-7 ( Russian : РПГ-7 ) is a portable, unguided, shoulder-launched, anti-tank rocket-propelled grenade launcher. Originally the RPG-7 (Ручной Противотанковый Гранатомёт – Ruchnoy Protivotankovyy Granatomyot, Hand-held anti-tank grenade launcher ) and its predecessor, the RPG-2, was designed by the Soviet Union ; it is now manufactured by the Russian company Bazalt. The weapon has the GRAU index 6G3. The English-language term ""rocket-propelled grenade"", though frequently encountered and reasonably descriptive, is a backronym for ""RPG"" and not based on a literal translation."
Mil Mi-28,http://en.wikipedia.org/wiki/Mil_Mi-28,1988,Mil,Soviet Union,"Algeria, Iraq, Kenya, Russia",Aircraft,,1,//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/%D0%9C%D0%B8%D0%BB%D1%8C_%D0%9C%D0%B8-28%2C_%D0%9C%D0%BE%D0%BD%D0%B8%D0%BD%D0%BE_-_%D0%BC%D1%83%D0%B7%D0%B5%D0%B9_%D0%92%D0%92%D0%A1_RP558.jpg/150px-%D0%9C%D0%B8%D0%BB%D1%8C_%D0%9C%D0%B8-28%2C_%D0%9C%D0%BE%D0%BD%D0%B8%D0%BD%D0%BE_-_%D0%BC%D1%83%D0%B7%D0%B5%D0%B9_%D0%92%D0%92%D0%A1_RP558.jpg,Deployed in Samaraa according to some sources,"The Mil Mi-28 ( NATO reporting name ""Havoc"" ) is a Russian all-weather, day-night, military tandem, two-seat anti-armor attack helicopter. It is a dedicated attack helicopter with no intended secondary transport capability, better optimized than the Mil Mi-24 for the role. It carries a single gun in an undernose barbette, plus external loads carried on pylons beneath stub wings."
Mohajer 4 Drone,http://en.wikipedia.org/wiki/Ghods_Mohajer,1990s,Ghods Aviation Industries,Iran,"Iran, Lebanon, Sudan, Syria, Venezuela",Aircraft,,5+,http://upload.wikimedia.org/wikipedia/commons/5/58/Mohajer_4.png,"ISIL demonstrated the use of a reconnaissance drone in ""Clanking of the Swords IV"" (June 2014) and in October 2014 over Kobanî in the John Cantlie video and also in the Tabqah Air Base video. Some were captured from the Syrian Army and Iran. One Drone was shot down over Kobanî by Kurdish forces defending the city.","Mohajer ( Persian : مهاجر ‎, ""Migrant"") or Mersad series of unmanned aerial vehicles is built by Iran. The Mohajer is primarily used to spy on military installations, enemy positions, etc. It may also be capable of guiding laser-guided munitions to their targets. [4]"
SA-7 Grail,http://en.wikipedia.org/wiki/9K32_Strela-2,1968,KBM,Soviet Union,"Afghanistan, Albania, Algeria, Angola, Armenia, Benin, Bosnia and Herzegovina, Botswana, Bulgaria, Burkina Faso, Cambodia, China, Cuba, Czech Republic, Djibouti, Egypt, El Salvador, Ethiopia, Georgia, Germany, Ghana, Guinea-Bissau, India, Indonesia, Iran, Iraq, Kuwait, Laos, Lebanon, Libya, Macedonia, Malaysia, Mali, Mauritania, Mongolia, Morocco, Mozambique, Nicaragua, North Korea, Pakistan, Palestine, Peru, Poland, Romania, Russia, Sahrawi Arab Democratic Republic, Serbia, Sierra Leone, Slovakia, Somalia, Sudan, Syria, Tanzania, Ukraine, Vietnam, Yemen, Zambia, Zimbabwe",Missile,,,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/SA-7.jpg/230px-SA-7.jpg,"limited, aging stock","The 9K32 Strela-2 ( Russian : Cтрела, ""arrow""; NATO reporting name SA-7 Grail ) is a man-portable, shoulder-fired, low-altitude surface-to-air missile system with a high explosive warhead and passive infrared homing guidance. Broadly comparable in performance with the US Army FIM-43 Redeye, which was designed in 1959, it was the first generation of Soviet man-portable SAMs, entering service in 1968, with series production starting in 1970. [3]"
HMMWV,http://en.wikipedia.org/wiki/Humvee,1984,AM General,United States,"Afghanistan, Albania, Algeria, Argentina, Bahrain, Bolivia, Bosnia and Herzegovina, Botswana, Bulgaria, Canada, Chad, Chile, Colombia, Croatia, Czech Republic, Denmark, Djibouti, Dominican Republic, Ecuador, Egypt, El Salvador, Ethiopia, Georgia, Greece, Honduras, Hungary, Iraq, Israel, Jordan, Kazakhstan, Kenya, Kuwait, Latvia, Lebanon, Libya, Lithuania, Luxembourg, Macedonia, Mexico, Moldova, Monaco, Mongolia, Montenegro, Morocco, New Zealand, Norway, Oman, Pakistan, Panama, Peru, Philippines, Poland, Portugal, Romania, Russia, Saudi Arabia, Serbia, Slovakia, Slovenia, Spain, Sudan, Taiwan, Tanzania, Thailand, Tunisia, Turkey, Uganda, Ukraine, United Arab Emirates, United States of America, Venezuela, Yemen",Infantry Vehicle,,100+,//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/US_Navy_060322-N-5438H-018_U.S._Army_soldiers_assigned_to_the_Bravo_Battery_3rd_Battalion_320th_Field_Artillery_Regiment_along_with_Iraq_Army_soldiers_from_the_1st_Battalion_1st_Brigade_4th_Division_perform_a_routine_patrol.jpg/230px-thumbnail.jpg,Many captured,"The High Mobility Multipurpose Wheeled Vehicle ( HMMWV ), commonly known as the Humvee, is a four-wheel drive military automobile produced by AM General. [6] It has largely supplanted the roles originally performed by the original jeep, and older Military light utility vehicles such as the Vietnam-era M151 1⁄4 -short-ton (230 kg) MUTT, the M561 ""Gama Goat"", their M718A1 and M792 ambulance versions, the CUCV, and other light trucks. Primarily used by the United States military, it is also used by numerous other countries and organizations and even in civilian adaptations. The Humvee's widespread use in the Persian Gulf War, where it negotiated the treacherous desert sand with ease, helped inspire the civilian Hummer automotive marque."
AK 47,http://en.wikipedia.org/wiki/AK_47,1949,"Izhmash, Norinco",Soviet Union,"Afghanistan, Albania, Algeria, Angola, Armenia, Azerbaijan, Bangladesh, Belarus, Benin, Bosnia and Herzegovina, Botswana, Bulgaria, Burkina Faso, Burundi, Cambodia, Cameroon, Cape Verde, Central African Republic, Chad, Chile, China, Comoros, Cuba, Democratic Republic of the Congo, Djibouti, Dominican Republic, Egypt, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, Finland, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Guinea, Guinea-Bissau, Guyana, Hungary, India, Indonesia, Iran, Iraq, Ivory Coast, Kazakhstan, Kenya, Kuwait, Laos, Lebanon, Liberia, Libya, Macedonia, Madagascar, Mali, Malta, Mauritania, Moldova, Mongolia, Morocco, Mozambique, Myanmar, Namibia, Niger, Nigeria, North Korea, Pakistan, Palestine, Peru, Philippines, Poland, Qatar, Republic of the Congo, Romania, Russia, Rwanda, Sahrawi Arab Democratic Republic, Sao Tome and Principe, Senegal, Serbia, Seychelles, Sierra Leone, Slovenia, Somalia, South Africa, South Sudan, Sri Lanka, Sudan, Suriname, Syria, Tajikistan, Tanzania, Togo, Turkey, Turkmenistan, Uganda, Ukraine, United Arab Emirates, Uzbekistan, Vietnam, Yemen, Zambia, Zimbabwe",Rifle,,8000+,//upload.wikimedia.org/wikipedia/commons/thumb/0/0c/AK47.jpg/230px-AK47.jpg,Most commonly used,"The AK-47 is a selective-fire, gas-operated 7.62×39mm assault rifle, first developed in the Soviet Union by Mikhail Kalashnikov. It is officially known in the Soviet documentation as Avtomat Kalashnikova ( Russian : Автомат Калашникова ). It is also known as Kalashnikov, AK, or in Russian slang, Kalash ."
