Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
Accelio Corporation,http://www.crunchbase.com/organization/accelio-corporation,,"Accelio Corporation develops web-based software products, consulting services and customer support.",,,"560 Rochester Street, Ottawa, Ontario, Canada",Ottawa,Ontario,Canada,"Accelio Corporation Formerly known as Jetform Corporation. The principal activity of the Company are development and distribution of web based software solutions. The Company operates in three business segments: Products, consulting services and customer support. The products segment licenses the Company's software products. The consulting segment configures, implements, integrates and customizes products and designs automated processes to meet the customers specific needs. This segment also provides necessary training to the customers. The customer support segment provides after sale support for software products as well as providing software upgrades and support programs. Software and license accounted for 61% of fiscal 2001 revenues; consulting, 11% and customer support, 28%.",,,Adobe,Adobe Systems acquired Accelio Corporation in 2002,http://api.crunchbase.com/v/2/organization/accelio-corporation?user_key=0ebdc8274e821149894a240090945265
Aldus Corp,http://www.crunchbase.com/organization/aldus-corp,,"Aldus Corporation, named after the 15th-century Venetian printer Aldus Manutius, was the inventor of the groundbreaking PageMaker software,",1984,Software,"Seattle, Washington, United States",Seattle,Washington,United States,"Aldus Corporation, named after the 15th-century Venetian printer Aldus Manutius, was the inventor of the groundbreaking PageMaker software, a program that is generally credited with creating the desktop publishing DTP field. The company was founded by Jeremy Jaech, Mark Sundstrom, Mike Templeman, Dave Walter, and chairman Paul Brainerd.1 Aldus Corporation was based in Seattle, Washington.",,,Adobe,Adobe Systems acquired Aldus Corp in 1994,http://api.crunchbase.com/v/2/organization/aldus-corp?user_key=0ebdc8274e821149894a240090945265
Amicima,http://www.crunchbase.com/organization/amicima,,Network Protocols,,Software,"Santa Cruz, California, United States",Santa Cruz,California,United States,"Amicima, Inc. was a software company headquartered in Santa Cruz, California, United States, developing new network protocols for client-server and peer-to-peer communication over the Internet and applications using the new protocols. Amicima was recently purchased by Adobe",,,Adobe,Adobe Systems acquired Amicima in 2006,http://api.crunchbase.com/v/2/organization/amicima?user_key=0ebdc8274e821149894a240090945265
Ares Software,http://www.crunchbase.com/organization/ares-software,,Ares Software was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired Ares Software in 1996,http://api.crunchbase.com/v/2/organization/ares-software?user_key=0ebdc8274e821149894a240090945265
Auditude,http://www.crunchbase.com/organization/auditude,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397195792/d2b6e940a7dd968192dcb0b6a04581a5.png","Auditude, a video management and monetization tech company, helps content owners manage their ad serving needs around professional videos.",1999,"Monetization, Advertising, Video","849 High Street, Palo Alto, California, United States",Palo Alto,California,United States,"Auditude is a leading video management and monetization technology company that helps content owners and aggregators grow their video revenues. The company's proprietary technology, Auditude Connect, is an innovative ad management system that allows premium video websites and content owners to manage their business requirements and ad serving needs around professional video.Auditude works with some of the largest names in online video as their ad serving and management platform. Clients include Comcast, Major League Baseball, MTV Networks, MySpace Music and Video, Universal Music Group and Yahoo!, among others.Auditude's executive and technology team is made up of talent from some of the world's most successful technology companies including DoubleClick, eBay, Google, PayPal, and Yahoo!, among others.   Auditude is based in Palo Alto with offices in Los Angeles and New York City.",http://www.auditude.com,http://twitter.com/auditude,Adobe,Adobe Systems acquired Auditude in 2011,http://api.crunchbase.com/v/2/organization/auditude?user_key=0ebdc8274e821149894a240090945265
Behance,http://www.crunchbase.com/organization/behance,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181407/ffc19b2909bd7e4ec810d2acf0d48bd7.png",Behance is an online platform allowing creative professionals to showcase and discover creative work via online portfolios.,2006,Curated Web,"New York City, New York, United States",New York City,New York,United States,"Behance is on a mission to organize and empower the creative world. Behance is the leading online platform to showcase and discover creative work. Creative professionals broadcast their work widely and efficiently, and companies access talent on a global scale. Millions use Behance to display and find talent every month. Behance's platform also serves as the backbone for AdWeek, LinkedIn, and thousands of other portfolio sites and online galleries of creative talent.Behance's platform attracts millions of visitors who come to discover top talent, along with powering creative networks for top schools and organizations, distributing work to other online galleries, and enabling portfolio display throughout the social web. And with Behance ProSite, members can create fully customizable personal portfolio sites that sync with their work on Behance, for maximum efficiency and reach. By the Winter of 2011, Behance Behance.net be.net and its associated category-specific ""Served sites"" was receiving over 50 million pageviews from over 9 million visitors per month. Behance's other projects that empower creative professionals:THE 99% the99percent.com The 99% is Behance's think tank and conference, devoted to researching best practices of the world’s most productive creative people. Its daily web magazine shares tips and insights on idea execution. Its annual conference takes place in New York City every spring and has included such luminaries as Fred Wilson, Jack Dorsey, and Seth Godin. The conference sells out a year in advance and serves as a powerful brand building initiative for Behance.ACTION METHOD actionmethod.com The Action Method is an intuitive approach to task management, designed to help creative thinkers push their ideas into action.",http://www.behance.net,http://twitter.com/Behance,Adobe,Adobe Systems acquired Behance in 2012,http://api.crunchbase.com/v/2/organization/behance?user_key=0ebdc8274e821149894a240090945265
BluePoint Technologies,http://www.crunchbase.com/organization/bluepoint-technologies,,BluePoint Technologies was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired BluePoint Technologies in 1990,http://api.crunchbase.com/v/2/organization/bluepoint-technologies?user_key=0ebdc8274e821149894a240090945265
Day Software,http://www.crunchbase.com/organization/day-software,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187256/0ef62e4243274cafe1a563dda2bca363.png","Day Software develops web applications that allow customers to deploy global, multi-lingual internet initiatives.",,Software,"Barfüsserplatz 6, Basel, Basel-Stadt, Switzerland",Basel,Basel-Stadt,Switzerland,"Day was founded in Basel, Switzerland, in 1993 to design web applications and manage content for global companies. Day Software allows customers to deploy global, multi-lingual internet initiatives.Day markets and delivers its software through partnerships with system integrators and consultants, as well as its own direct sales team.",http://www.day.com,,Adobe,Adobe Systems acquired Day Software in 2010,http://api.crunchbase.com/v/2/organization/day-software?user_key=0ebdc8274e821149894a240090945265
Demdex,http://www.crunchbase.com/organization/demdex,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181794/580d59bc62075c8f431a1139869e3293.png","Demdex provides audience management solutions for powering dynamic, multi-channel data strategies online.",2008,"Advertising, SaaS","460 W 34th St., 14th Floor, New York City, New York, United States",New York City,New York,United States,"Demdex provides Audience Management solutions for powering dynamic, multi-channel data strategies online. Having pioneered the SaaS Audience Management market since 2008, Demdex's services are continually being embraced by some of the world's most recognized brands across diverse industries.Â  As the best alternative to homegrown systems which are expensive to build, operate and maintain, Demdex's enterprise-level technology provides the scale, reliability, insight and performance necessary for businesses to succeed online.",http://demdex.com,http://twitter.com/DemdexInc,Adobe,Adobe Systems acquired Demdex in 2011,http://api.crunchbase.com/v/2/organization/demdex?user_key=0ebdc8274e821149894a240090945265
DigiDox,http://www.crunchbase.com/organization/digidox,,DigiDox was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired DigiDox in 1997,http://api.crunchbase.com/v/2/organization/digidox?user_key=0ebdc8274e821149894a240090945265
EchoSign,http://www.crunchbase.com/organization/echosign,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1399018579/g3fotrq9lwnavdxcaufm.jpg",EchoSign is an electronic signature and contract management company helping users get all their documents signed online.,2005,"Curated Web, Legal","555 Bryant Street, #101, Palo Alto, California, United States",Palo Alto,California,United States,"EchoSign is an Electronic Signature and contract management company helping you keep you get all your documents signed online. The company is a direct competitor to DocuSign which took a substantial round of financing in the summer of 2007. EchoSign fired back with a second round of $6 million and partnerships with CRM powerhouse Salesforce.com, NetSuite, SAP, WebEx and Zoho Salesforce.com named EchoSign to the ""Best Apps of 2012, ""Best Apps of 2011"", ""Best Apps of 2010"", ""Best Apps of 2009"" and ""Best Apps of 2008"", as well as a three-time AppExchange Essential.EchoSign's signature process requires users to email documents through its system which takes care of the signing process on the other side.  The recipients can e-sign instantly in any browser, an iPhone or a Blackberry, or via a widget on any website.  Or if desired, recipients can sign by fax using a toll-free fax gateway.  EchoSign also offers full integration with Google Apps / Google Docs, NetSuite, SAP Sourcing, Oracle CRM On Demand, eFax, DropBox, Evernote, Box.net, SugarCRM, Xobni and SpringCM are 4 levels of membership. For 5 or less signatures a month, the service is free. There are ""pro"", ""team"" and enterprise levels as well that begin at $15 a month.In July 2011, EchoSign was acquired by Adobe.",http://echosign.com,http://twitter.com/echosign,Adobe,Adobe Systems acquired EchoSign in 2011,http://api.crunchbase.com/v/2/organization/echosign?user_key=0ebdc8274e821149894a240090945265
Efficient Frontier,http://www.crunchbase.com/organization/efficient-frontier,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187163/94951d79513e1cc31346d97fbcf48b36.jpg","Efficient Frontier, an online performance and social media marketing platform, manages social media campaigns for advertisers and agencies.",2002,Advertising,"809 Eleventh Avenue, Sunnyvale, California, United States",Sunnyvale,California,United States,"Efficient Frontier is a leader in online performance and social media marketing, managing search marketing, display and social media campaigns for advertisers and agencies around the world. Efficient Frontier currently manages more than $1 billion in annual marketing spend on behalf of their clients globally. In 2011, Efficient Frontier acquired Context Optional, a leader in enterprise social marketing solutions. The acquisition significantly expanded Efficient Frontier's social media offering, marking the first unified solution for managing and optimizing Facebook fan acquisition through to fan retention and engagement.  Founded in 2002, Efficient Frontier pioneered the application of modern portfolio theory for search engine marketing and today combines its core predictive modeling algorithms and bidding technology with comprehensive strategic and tactical value-added services. The largest and most sophisticated advertisers and agencies partner with Efficient Frontier to achieve and sustain optimal campaign performance and growth in highly complex and competitive marketplaces.  The company is headquartered in Sunnyvale, California, with offices in New York, San Francisco, the United Kingdom, France, Germany, and India, and technology licensing partnerships in Japan, Hong Kong and Australia.  Efficient Frontier is a privately held company with funding from Redpoint Ventures and Cambrian Ventures.",http://www.efrontier.com,,Adobe,Adobe Systems acquired Efficient Frontier in 2011,http://api.crunchbase.com/v/2/organization/efficient-frontier?user_key=0ebdc8274e821149894a240090945265
Emerald City Software,http://www.crunchbase.com/organization/emerald-city-software,,"As of 1990, Emerald City Software was acquired by Adobe Systems Inc. Emerald City Software develops software for graphic arts.",,,"Usa, Kyushu, Japan",Usa,Kyushu,Japan,"As of 1990, Emerald City Software was acquired by Adobe Systems Inc. Emerald City Software develops software for graphic arts.",,,Adobe,Adobe Systems acquired Emerald City Software in 1990,http://api.crunchbase.com/v/2/organization/emerald-city-software?user_key=0ebdc8274e821149894a240090945265
Fotiva,http://www.crunchbase.com/organization/fotiva,,Fotiva was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired Fotiva in 2001,http://api.crunchbase.com/v/2/organization/fotiva?user_key=0ebdc8274e821149894a240090945265
Frame Technology,http://www.crunchbase.com/organization/frame-technology,,"Frame Technology Corporation is engaged in the development, marketing, and support of writing and publishing software for the creation and",,,"1585 Charleston Road, Mountain View, California, United States",Mountain View,California,United States,"Frame Technology Corporation is engaged in the development, marketing, and support of writing and publishing software for the creation and distribution of critical business and technical documents.",,,Adobe,Adobe Systems acquired Frame Technology in 1995,http://api.crunchbase.com/v/2/organization/frame-technology?user_key=0ebdc8274e821149894a240090945265
GoLive Systems,http://www.crunchbase.com/organization/golive-systems,,GoLive Systems was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired GoLive Systems in 1999,http://api.crunchbase.com/v/2/organization/golive-systems?user_key=0ebdc8274e821149894a240090945265
GoodBarry,http://www.crunchbase.com/organization/goodbarry,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184274/019d78fe2667bdcfd7896ce57ae05775.png","GoodBarry, an integrated online business system, offers website content management, e-commerce, business analytics and simple CRM.",2004,Enterprise Software,"555 Post Street, San Francisco, California, United States",San Francisco,California,United States,"GoodBarry is an integrated online business system that provides website content management, ecommerce, email marketing, business analytics and simple CRM. GoodBarry's difference comes from tracking capturing customer actions on your website, automatically building a customer profile within the built in CRM. This means that online orders, email marketing campaigns, web form submissions - all customer interactions on your website - are captured and collected against a central customer record.",http://www.goodbarry.com,,Adobe,Adobe Systems acquired GoodBarry in 2009,http://api.crunchbase.com/v/2/organization/goodbarry?user_key=0ebdc8274e821149894a240090945265
HyWay Ferranti,http://www.crunchbase.com/organization/hyway-ferranti,,HyWay Ferranti was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired HyWay Ferranti in 1997,http://api.crunchbase.com/v/2/organization/hyway-ferranti?user_key=0ebdc8274e821149894a240090945265
Ideacodes,http://www.crunchbase.com/organization/ideacodes,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182456/bedc7d05d1dda24d3e10cf5db9afb1b6.gif",Design consultancy,2005,"Curated Web, Interface Design, Design, Consulting, User Experience Design","77 Dow Place, #1110, San Francisco, California, United States",San Francisco,California,United States,"Ideacodes is a design consultancy that helps startups, organizations and businesses with the design and user experience of web applications, smart devices, digital products and networked communities.",http://ideacodes.com,http://twitter.com/ideacodes,Adobe,Adobe Systems acquired Ideacodes in 2013,http://api.crunchbase.com/v/2/organization/ideacodes?user_key=0ebdc8274e821149894a240090945265
InterAKT,http://www.crunchbase.com/organization/interakt,,InterAKT was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired InterAKT in 2006,http://api.crunchbase.com/v/2/organization/interakt?user_key=0ebdc8274e821149894a240090945265
IRIDAS,http://www.crunchbase.com/organization/iridas,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397200791/3177066924b31ec49cf856477d47b7ca.jpg",IRIDAS was added to CrunchBase in 2011,,,,,,,,http://www.iridas.com,http://twitter.com/IRIDAS,Adobe,Adobe Systems acquired IRIDAS in 2011,http://api.crunchbase.com/v/2/organization/iridas?user_key=0ebdc8274e821149894a240090945265
Macromedia,http://www.crunchbase.com/organization/macromedia,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185516/a52417a692ecf76761ccdbba50e86a81.png",Macromedia is a graphics and web development software company producing tools such as Macromedia Flash and Dreamweaver.,1992,Software,"601 Townsend St, San Francisco, California, United States",San Francisco,California,United States,"Macromedia was a North American graphics and Web development software house headquartered in San Francisco, California producing such products as Macromedia Flash.The line of Macromedia products is now controlled by its former rival, Adobe Systems, which acquired Macromedia on December 3, 2005.",http://www.adobe.com,http://twitter.com/Adobe,Adobe,Adobe Systems acquired Macromedia in 2005,http://api.crunchbase.com/v/2/organization/macromedia?user_key=0ebdc8274e821149894a240090945265
Navisware,http://www.crunchbase.com/organization/navisware,,Navisware was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired Navisware in 2005,http://api.crunchbase.com/v/2/organization/navisware?user_key=0ebdc8274e821149894a240090945265
Neolane,http://www.crunchbase.com/organization/neolane,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185938/0f73f10909c6dd46019d0acf4f81ac89.jpg",Neolane is a marketing technology provider developing automation and cross-channel campaign management software for B2B and B2C marketers.,2001,Software,"18 rue Roger-Simon Barboux, Arcueil, Ile-de-France, France",Arcueil,Ile-de-France,France,"Neolane, Inc. is a conversational marketing technology provider, which develops marketing automation and cross-channel campaign management software and services for business-to-business and business-to-consumer marketers. In 2012, Neolane recorded $58 million in revenue representing 40% year-over-year growth. In 2013, Neolane was named #64 on the Forbes list of America's Most Promising companies.Neolane provides the only conversational marketing technology that empowers organizations to build and sustain one-to-one lifetime dialogues, dramatically increasing revenue and marketing efficiency. Neolane has a track record of enabling its customers to adapt to new customer engagement challenges and exploit opportunities more quickly than their competition. Neolane is used by more than 400 of the world's leading companies including Alcatel Lucent, barnesandnoble.com, Orange, Sears Canada, Sephora Europe, and Sony Music.",http://www.neolane.com,http://twitter.com/neolane,Adobe,Adobe Systems acquired Neolane in 2013,http://api.crunchbase.com/v/2/organization/neolane?user_key=0ebdc8274e821149894a240090945265
Nitobi Software,http://www.crunchbase.com/organization/nitobi-software,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397205817/a7c45c231b11a2231e238236b0103ebf.gif","Nitobi Software offers PhoneGap, an open source solution that provides web developers with JavaScript access to mobile device features.",,"Web Tools, Web Development, Software",,,,,Nitobi Software creates rich web applications and developer toolkits in Ajax and Javascript.,http://www.nitobi.com,,Adobe,Adobe Systems acquired Nitobi Software in 2011,http://api.crunchbase.com/v/2/organization/nitobi-software?user_key=0ebdc8274e821149894a240090945265
OCR Systems,http://www.crunchbase.com/organization/ocr-systems,,OCR Systems was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired OCR Systems in 1992,http://api.crunchbase.com/v/2/organization/ocr-systems?user_key=0ebdc8274e821149894a240090945265
OKYZ,http://www.crunchbase.com/organization/okyz,,OKYZ was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired OKYZ in 2004,http://api.crunchbase.com/v/2/organization/okyz?user_key=0ebdc8274e821149894a240090945265
Omniture,http://www.crunchbase.com/organization/omniture,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182349/1da531948acac7cacf8f58070795dc76.png",Omniture is an online marketing and web analytics business unit enabling clients to manage and enhance business initiatives.,1996,"Software, Advertising","550 East Timpanogos Circle, Orem, Utah, United States",Orem,Utah,United States,"The Omniture product suite provides an integrated set of services: advanced web analytics and segmentation SiteCatalyst, Discover and Data Warehouse, search marketing SearchCenter, optimization Advanced Testing and Targeting -- Offermatica and TouchClarity, and the marketing integration platform Genesis. They also have an iPhone application that allows customers to sign into their Omniture account and view statistics from anywhere.",http://www.omniture.com,,Adobe,Adobe Systems acquired Omniture in 2009,http://api.crunchbase.com/v/2/organization/omniture?user_key=0ebdc8274e821149894a240090945265
Photoshop,http://www.crunchbase.com/organization/photoshop,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397198253/76b954c6e6a64ef4c635c81a6c1ea4d7.jpg",Photoshop.com is the online complement to Adobe's family of Photoshop software.,,,,,,,Photoshop.com is the online complement to Adobe's family of Photoshop software.,http://www.photoshop.com,,Adobe,Adobe Systems acquired Photoshop in 1995,http://api.crunchbase.com/v/2/organization/photoshop?user_key=0ebdc8274e821149894a240090945265
Pixmantec,http://www.crunchbase.com/organization/pixmantec,,Pixmantec was added to CrunchBase in 2010,,,,,,,,,,Adobe,Adobe Systems acquired Pixmantec in 2006,http://api.crunchbase.com/v/2/organization/pixmantec?user_key=0ebdc8274e821149894a240090945265
