Username,ID,Country Attribution,Number of Licenses,Current Customer?,Total Costs,"Total Costs (with ""deleted"" licenses)",Software Purchased
Gamma1,5,,0,,,,
Aducate1,6,,0,,,,
Gss1,7,,0,,,,
Trovicor1,9,,0,,,,
Elaman1,10,,0,,,,
CAFA6A1F,14,,18,Yes,"€428,700","€1,773,720","FinSpy, FinFly USB, FinFly LAN, FinFireWire, FinUSB Suite, FinFly Web"
E0AD6E22,15,Slovakia,39,,"€1,170,840","€5,341,440","FinFly Web, FinFly LAN, FinUSB Suite, FinFireWire, FinIntrusion Kit, FinSpy, FinFly USB, FinSpy Mobile"
E5C0C644,16,,15,Yes,"€1,360,560","€2,605,380","FinFly LAN, FinSpy, FinFly USB, FinFly ISP, FinFireWire, FinUSB Suite, FinFly Web, FinSpy Mobile"
7678CCD6,17,,4,,"€13,080","€69,840","FinUSB Suite, FinIntrusion Kit"
559458B5,18,Mongolia,16,Yes,"€853,560","€1,358,160","FinSpy, FinFly USB, FinUSB Suite, FinFly ISP, FinIntrusion Kit, FinFireWire, FinFly LAN, FinFly Web"
Gamma9,19,,33,Yes,"€1,521,796","€2,014,516","FinFireWire, FinFly ISP, FinFly LAN, FinFly USB, FinFly Web, FinIntrusion Kit, FinSpy, FinSpy Mobile, FinTraining, FinUSB Suite, FinFly Net"
4599A7D0,21,Qatar SSB,11,,"€683,700","€1,790,580","FinSpy, FinUSB Suite, FinFly USB"
dataex1,22,,0,,,,
Cobham1,23,,0,,,,
GandP1,24,,0,,,,
F6F202EA,25,,5,,"€376,680","€376,680","FinUSB Suite, FinSpy, FinFly USB, FinFly LAN, FinIntrusion Kit"
1E65145B,26,,16,,"€78,480","€209,280","FinUSB Suite, FinFireWire"
F378934F,27,,17,Yes,"€806,280","€2,821,140","FinUSB Suite, FinSpy, FinFly USB, FinFly LAN, FinFly Web, FinFly ISP, FinIntrusion Kit"
E7549C72,28,South Africa,23,,"€683,340","€2,021,400","FinSpy, FinFly USB, FinFly LAN, FinUSB Suite, FinIntrusion Kit"
DDCD64A2,29,Bahrain,7,,"€348,420","€855,660","FinSpy, FinFly USB, FinFly Web"
0DBB5B36,30,,7,,"€216,300","€445,680","FinFly LAN, FinUSB Suite, FinSpy, FinFly USB"
0988BAEB,31,,15,Yes,"€562,080","€2,408,880","FinUSB Suite, FinSpy, FinFly USB, FinFly Web"
0DF6972B,32,Pakistan,3,,"€432,120","€432,120","FinSpy, FinFly USB, FinIntrusion Kit"
Dyplex1,34,,0,,,,
DE8E0FCE,35,,6,,"€311,820","€935,460","FinSpy, FinFly USB"
9145EC2C,36,,5,Yes,"€26,160","€65,400",FinUSB Suite
73DAAD57,37,,5,,"€532,500","€844,320","FinSpy, FinFly USB, FinUSB Suite"
9772CC62,40,,25,Yes,"€1,420,440","€2,455,860","FinSpy, FinFly USB, FinUSB Suite, FinFireWire, FinFly Web, FinFly LAN, FinIntrusion Kit, FinSpy Mobile"
979A48A0,41,,2,,"€206,820","€206,820","FinSpy, FinFly USB"
134918DA,42,,44,,"€1,280,220","€2,754,060","FinSpy, FinFly USB, FinSpy Mobile, FinSpy, FinUSB Suite, FinFireWire"
B58616D2,43,,6,,"€748,140","€1,367,160","FinSpy, FinFly USB, FinSpy Mobile"
D5D58215,44,,8,Yes,"€795,000","€2,446,200","FinIntrusion Kit, FinSpy, FinSpy Mobile"
AFE2D27D,45,,4,Yes,"€179,100","€972,600",FinSpy
54F83B4E,46,,14,Yes,"€1,540,500","€2,877,720","FinSpy, FinFly USB, FinFly LAN, FinSpy Mobile, FinFly Web, FinIntrusion Kit, FinFireWire"
14ED6D84,47,Estonia,37,Yes,"€1,167,240","€3,413,040","FinSpy, FinFly USB, FinUSB Suite, FinFireWire, FinFly Web, FinIntrusion Kit, FinFly LAN, FinSpy Mobile"
BEC8B100,48,Vietnam,3,,"€190,800","€805,200",FinSpy Mobile
